Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617310800.0 128.0 66 100 NA NA NA 188 417 NA NA NA 1665 2249 NA NA NA 2472 1506 NA NA NA
1617310800.0 129.0 64 98 NA NA NA 193 446 NA NA NA 1806 2133 NA NA NA 2654 1595 NA NA NA
1617310800.0 13.0 NA 109 NA NA NA NA 457 NA NA NA NA 2146 NA NA NA NA 2914 NA NA NA
1617310800.0 130.0 63 116 NA NA NA 194 468 NA NA NA 3785 2605 NA NA NA 5106 929 NA NA NA
1617310800.0 1301.0 82 144 NA NA NA 226 482 NA NA NA 38212 4448 NA NA NA 29021 4216 NA NA NA
1617310800.0 1301.17 66 206 NA NA NA 194 564 NA NA NA 44427 12250 NA NA NA 33601 4142 NA NA NA
1617310800.0 13034.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1617310800.0 1304.18 66 202 NA NA NA 198 531 NA NA NA 84584 10799 NA NA NA 80347 4198 NA NA NA
1617310800.0 1304.181 87 203 NA NA NA 200 555 NA NA NA 89593 10927 NA NA NA 84589 4767 NA NA NA
1617310800.0 1304.182 66 193 NA NA NA 197 688 NA NA NA 78586 10960 NA NA NA 80676 4385 NA NA NA
1617310800.0 1306.0 NA 144 NA NA NA NA 551 NA NA NA NA 3045 NA NA NA NA 1659 NA NA NA
1617310800.0 1307.0 NA 145 183 55 0 NA 577 406 175 0 NA 2930 4159 246 563 NA 3573 1894 363 707
1617310800.0 1308.0 NA 146 170 48 0 NA 476 399 174 0 NA 2881 2765 239 569 NA 3415 3493 1264 1646
1617310800.0 1309.0 NA 155 NA NA NA NA 529 NA NA NA NA 3672 NA NA NA NA 3760 NA NA NA
