Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 136.885 NA 134 454 0 NA NA NA 1073 1680 0 NA NA NA 2135 68518 1980 NA NA NA 828 20998 2031 NA NA
1617570000.0 136.8861 NA 127 536 0 NA NA NA 1087 1739 0 NA NA NA 2475 66776 2467 NA NA NA 990 22001 2525 NA NA
1617570000.0 136.887 NA 141 448 0 NA NA NA 1075 1673 0 NA NA NA 2477 67457 2085 NA NA NA 892 21307 2133 NA NA
1617570000.0 136.88811 NA 207 0 NA NA NA NA 1189 0 NA NA NA NA 4284 311 NA NA NA NA 2510 347 NA NA NA
1617570000.0 136.891 NA 133 560 0 NA NA NA 1080 1751 0 NA NA NA 2323 71428 1953 NA NA NA 958 22112 1999 NA NA
1617570000.0 136.892 NA 146 507 0 NA NA NA 1076 1746 0 NA NA NA 2062 64994 2057 NA NA NA 825 20233 2112 NA NA
1617570000.0 140.56 NA 791 0 NA NA NA NA 2038 0 NA NA NA NA 79418 2036 NA NA NA NA 23783 2089 NA NA NA
1617570000.0 144.6 NA 327 NA NA NA NA NA 1492 NA NA NA NA NA 7143 NA NA NA NA NA 4201 NA NA NA NA
1617570000.0 158.01 NA 182 0 NA NA NA NA 1141 0 NA NA NA NA 10923 425 NA NA NA NA 6536 470 NA NA NA
1617570000.0 2017.9 1005 0 148 NA NA NA 2382 0 1081 NA NA NA 3685 872 1514 NA NA NA 2079 914 1091 NA NA NA
1617570000.0 250206.182 87 389 538 0 NA NA 1000 1562 1781 0 NA NA 4744 19891 13645 3374 NA NA 2347 6949 7102 3478 NA NA
1617570000.0 25203.0 NA 363 590 0 235 NA NA 1587 1768 0 1204 NA NA 9952 15329 1652 1779 NA NA 3139 8564 1713 1706 NA
1617570000.0 4.28 NA 80 324 0 NA NA NA 997 1471 0 NA NA NA 897 12171 8616 NA NA NA 846 8140 8715 NA NA
1617570000.0 4.6 NA 326 0 NA NA NA NA 1501 0 NA NA NA NA 12174 1728 NA NA NA NA 6846 1773 NA NA NA
1617570000.0 500200.0 NA 209 365 0 NA NA NA 1445 1506 0 NA NA NA 31781 13427 1644 NA NA NA 9381 8253 1697 NA NA
1617570000.0 500202.0 NA 221 382 0 NA NA NA 1487 1531 0 NA NA NA 31052 15355 1814 NA NA NA 9250 8799 1879 NA NA
1617570000.0 500206.0 NA 212 380 0 NA NA NA 1409 1517 0 NA NA NA 28142 12961 1977 NA NA NA 8552 7740 2028 NA NA
1617570000.0 500207.0 NA 204 373 0 NA NA NA 1449 1506 0 NA NA NA 27615 11564 1928 NA NA NA 8134 7458 1986 NA NA
1617570000.0 503.0 55 0 NA NA NA NA 938 0 NA NA NA NA 2987 289 NA NA NA NA 1644 328 NA NA NA NA
1617570000.0 504.0 63 0 NA NA NA NA 943 0 NA NA NA NA 443 343 NA NA NA NA 386 374 NA NA NA NA
1617570000.0 505.0 61 0 NA NA NA NA 947 0 NA NA NA NA 388 197 NA NA NA NA 396 230 NA NA NA NA
1617570000.0 506.0 71 0 NA NA NA NA 947 0 NA NA NA NA 296 194 NA NA NA NA 285 225 NA NA NA NA
1617570000.0 507.0 53 0 NA NA NA NA 939 0 NA NA NA NA 2175 283 NA NA NA NA 1268 318 NA NA NA NA
1617570000.0 508.0 57 0 NA NA NA NA 939 0 NA NA NA NA 432 363 NA NA NA NA 421 397 NA NA NA NA
1617570000.0 509.0 56 0 NA NA NA NA 938 0 NA NA NA NA 282 214 NA NA NA NA 275 245 NA NA NA NA
1617570000.0 510.0 54 0 NA NA NA NA 943 0 NA NA NA NA 3439 287 NA NA NA NA 1924 321 NA NA NA NA
1617570000.0 511.0 61 0 NA NA NA NA 953 0 NA NA NA NA 21302 247 NA NA NA NA 21701 276 NA NA NA NA
1617570000.0 531.0 78 0 NA NA NA NA 1053 0 NA NA NA NA 258 364 NA NA NA NA 282 389 NA NA NA NA
1617570000.0 541.0 67 0 NA NA NA NA 961 0 NA NA NA NA 474 246 NA NA NA NA 410 278 NA NA NA NA
1617570000.0 545.0 89 0 NA NA NA NA 957 0 NA NA NA NA 768 326 NA NA NA NA 585 356 NA NA NA NA
1617570000.0 546.0 75 69 NA NA NA NA 947 1003 NA NA NA NA 360 380 NA NA NA NA 371 400 NA NA NA NA
1617570000.0 560.0 54 0 NA NA NA NA 940 0 NA NA NA NA 460 296 NA NA NA NA 423 323 NA NA NA NA
1617570000.0 561.0 75 0 NA NA NA NA 943 0 NA NA NA NA 442 325 NA NA NA NA 401 355 NA NA NA NA
