Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617138000.0 1330.0 NA 256 NA NA 732 NA NA 1569 NA NA 1842 NA
1617138000.0 1331.0 NA 313 NA NA 736 NA NA 1555 NA NA 2038 NA
1617138000.0 1332.0 NA 239 NA NA 738 NA NA 1893 NA NA 2043 NA
1617138000.0 1333.0 NA 245 NA NA 731 NA NA 1822 NA NA 1546 NA
1617138000.0 1334.0 NA 239 NA NA 740 NA NA 1672 NA NA 1308 NA
1617138000.0 1335.0 NA 236 NA NA 734 NA NA 1752 NA NA 1777 NA
1617138000.0 1336.0 NA 242 NA NA 737 NA NA 1735 NA NA 1835 NA
1617138000.0 1337.0 NA 244 NA NA 754 NA NA 1633 NA NA 1277 NA
1617138000.0 1338.0 NA 244 NA NA 739 NA NA 1954 NA NA 1657 NA
1617138000.0 1339.0 NA 244 NA NA 741 NA NA 1964 NA NA 2207 NA
1617138000.0 134.701 NA 129 NA NA 490 NA NA 365 NA NA 417 NA
1617138000.0 134.702 NA 178 NA NA 490 NA NA 357 NA NA 334 NA
1617138000.0 134.703 NA 205 NA NA 488 NA NA 390 NA NA 726 NA
1617138000.0 134.704 NA 188 NA NA 489 NA NA 378 NA NA 885 NA
1617138000.0 134.705 NA 133 NA NA 493 NA NA 373 NA NA 681 NA
1617138000.0 134.706 NA 134 NA NA 489 NA NA 393 NA NA 590 NA
1617138000.0 134.707 NA 141 NA NA 488 NA NA 369 NA NA 416 NA
1617138000.0 134.708 NA 139 NA NA 489 NA NA 395 NA NA 696 NA
1617138000.0 134.709 NA 202 NA NA 488 NA NA 381 NA NA 1143 NA
1617138000.0 134.71 NA 127 NA NA 487 NA NA 360 NA NA 551 NA
1617138000.0 134.801 NA 133 NA NA 508 NA NA 413 NA NA 705 NA
1617138000.0 134.802 NA 126 NA NA 511 NA NA 419 NA NA 655 NA
1617138000.0 134.803 NA 128 NA NA 511 NA NA 454 NA NA 622 NA
1617138000.0 134.804 NA 143 NA NA 512 NA NA 441 NA NA 658 NA
1617138000.0 134.805 NA 144 NA NA 515 NA NA 439 NA NA 890 NA
1617138000.0 134.806 NA 132 NA NA 515 NA NA 413 NA NA 589 NA
1617138000.0 134.807 NA 196 NA NA 637 NA NA 1355 NA NA 1139 NA
1617138000.0 134.808 NA 246 NA NA 634 NA NA 1509 NA NA 1873 NA
1617138000.0 134.809 NA 149 NA NA 510 NA NA 416 NA NA 558 NA
1617138000.0 134.81 NA 134 NA NA 512 NA NA 404 NA NA 513 NA
1617138000.0 134.811 NA 126 NA NA 511 NA NA 396 NA NA 463 NA
1617138000.0 134.812 NA 129 NA NA 512 NA NA 374 NA NA 605 NA
1617138000.0 134.901 NA 137 NA NA 507 NA NA 403 NA NA 801 NA
1617138000.0 134.902 NA 126 NA NA 512 NA NA 393 NA NA 682 NA
1617138000.0 134.903 NA 129 NA NA 509 NA NA 396 NA NA 527 NA
1617138000.0 134.904 NA 158 NA NA 513 NA NA 394 NA NA 355 NA
1617138000.0 134.905 NA 137 NA NA 511 NA NA 398 NA NA 612 NA
1617138000.0 134.906 NA 128 NA NA 512 NA NA 394 NA NA 792 NA
1617138000.0 134.907 NA 257 NA NA 629 NA NA 1318 NA NA 2044 NA
1617138000.0 134.908 NA 249 NA NA 641 NA NA 1265 NA NA 1717 NA
1617138000.0 134.909 NA 203 NA NA 510 NA NA 399 NA NA 635 NA
1617138000.0 134.91 NA 130 NA NA 507 NA NA 383 NA NA 512 NA
1617138000.0 134.911 NA 128 NA NA 510 NA NA 399 NA NA 680 NA
1617138000.0 134.912 NA 151 NA NA 507 NA NA 394 NA NA 757 NA
1617138000.0 134.99601 NA 133 NA NA 514 NA NA 409 NA NA 516 NA
1617138000.0 134.99602 NA 127 NA NA 511 NA NA 400 NA NA 857 NA
1617138000.0 134.99603 NA 131 NA NA 511 NA NA 430 NA NA 487 NA
1617138000.0 134.99901 NA 131 NA NA 509 NA NA 415 NA NA 1130 NA
1617138000.0 1340.0 NA 237 NA NA 733 NA NA 1660 NA NA 1657 NA
1617138000.0 1341.0 NA 244 NA NA 745 NA NA 1894 NA NA 1554 NA
1617138000.0 1343.0 NA 242 NA NA 740 NA NA 1812 NA NA 1932 NA
1617138000.0 1344.0 NA 240 NA NA 737 NA NA 1942 NA NA 2041 NA
1617138000.0 1345.0 NA 241 NA NA 739 NA NA 1859 NA NA 2315 NA
1617138000.0 1347.0 NA 241 NA NA 735 NA NA 1899 NA NA 1533 NA
1617138000.0 1348.0 NA 262 NA NA 731 NA NA 1834 NA NA 2171 NA
1617138000.0 1349.0 NA 239 NA NA 731 NA NA 1705 NA NA 1798 NA
1617138000.0 1350.0 NA 238 NA NA 732 NA NA 1688 NA NA 1528 NA
1617138000.0 1351.0 NA 238 NA NA 728 NA NA 1619 NA NA 1502 NA
